Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jite
Powdered C-540 Graphite,1084.46,+2.6%,10195,1113.61,602.05,10.00,1127.24
Resonance Calibration Matrix,1254.73,-20.3%,497,1271.87,830.14,10.00,1424.47
Thermoelectric Catalysts,16549.67,+9.1%,84,17838.14,7015.14,42502.11,4357.45
,,,,,,,
Ancient Relics,,,,,,,
Intact Armor Nanobot,34468890.25,-97.9%,0,22221349.78,10001707.00,0.00,34468890.25
Intact Electromechanical Component,27577918.44,-63.7%,0,12500235.67,10001707.00,0.00,27577918.44
Intact Hull Section,64694444.56,+11.3%,9,80138889.11,40333333.34,0.00,66677882.35
Intact Power Cores,29790103.20,-93.3%,0,32388940.11,10001707.00,0.00,29790103.20
Intact Thruster Sections,23301015.14,-57.1%,0,14901871.93,6000664.20,0.00,23301015.14
Intact Weapon Subroutines,35871664.71,-97.2%,0,8673333.17,10001707.00,0.00,35871664.71
Malfunctioning Armor Nanobot,8923076.62,+56.9%,26,8666666.67,5619148.79,0.00,9411877.62
Malfunctioning Electromechanical Component,5916110.96,+85.9%,18,5675882.19,1661000.00,0.00,5724232.73
Malfunctioning Hull Section,20500000.10,-14.6%,10,21536363.64,31000000.09,0.00,19919722.68
Malfunctioning Power Cores,4952312.71,-29.3%,23,3549732.86,7838625.06,20000000.00,10343516.38
Malfunctioning Thruster Sections,4787604.42,-24.2%,24,5345125.10,1945294.35,0.00,5859630.17
Malfunctioning Weapon Subroutines,10360000.03,-42.1%,30,10297948.67,7893662.65,20000000.00,13314625.12
Wrecked Armor Nanobot,1221150.20,-95.8%,43,18170.09,2380151.84,2002500.00,67226.93
Wrecked Electromechanical Component,448012.81,-97.8%,46,20869.51,657410.76,3057777.78,24133.67
Wrecked Hull Section,5039300.00,+26.5%,14,5350000.00,2245688.92,26571428.57,4228890.31
Wrecked Power Cores,472184.58,-95.8%,31,6666.67,763412.00,1047692.31,42259.60
Wrecked Thruster Sections,80355.91,-88.8%,45,12323.05,139132.44,1676666.67,40906.30
Wrecked Weapon Subroutines,100425.89,-0.4%,35,109812.70,401934.96,1513333.33,317427.72
,,,,,,,
Hybrid Datacores,,,,,,,
Datacore - Defensive Subsystems Engineering,5261.57,+0.8%,495,3719.04,30097.87,750250.12,3136.32
Datacore - Electronic Subsystems Engineering,5091.62,-39.1%,310,3437.36,8509.64,404766.67,8990.99
Datacore - Engineering Subsystems Engineering,2444.78,-67.8%,299,1722.33,2861.30,3931.47,6885.61
Datacore - Offensive Subsystems Engineering,3263.33,-74.0%,159,1857.87,9477.01,7216176.47,5392.67
Datacore - Propulsion Subsystems Engineering,4162.46,-25.5%,330,4519.21,24975.72,1479333.33,7090.32
,,,,,,,
Hybrid Decryptors,,,,,,,
R.A.M.- Hybrid Technology,497790.81,+54.6%,376,538388.72,227774.87,305804.60,512056.19
Amarr Hybrid Tech Decryptor,125580.21,-45.8%,80,126459.71,287776.08,5399999.80,185562.36
Caldari Hybrid Tech Decryptor,3198674.45,-43.6%,97,3396252.78,3620489.76,2637440.00,4316076.23
Gallente Hybrid Tech Decryptor,265115.70,+50.9%,67,241204.82,295731.86,300005.00,170524.24
Minmatar Hybrid Tech Decryptor,216594.48,+61.6%,74,203281.83,309266.67,1000002.73,150375.16
,,,,,,,
Fullerenes,,,,,,,
Fullerite-C28,3186.82,-48.9%,33000,3675.66,2631.32,1318.72,5675.51
Fullerite-C32,11557.78,-4.8%,37041,11000.40,9424.84,2689.68,14567.26
