Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
Crystallite Alloy,2213.51,+35.4%,131337,2335.87,2101.87,2151.54,1775.68
Dysporite,8978.60,-10.9%,0,14817.12,30410.90,0.00,8978.60
Fernite Alloy,813.67,+16.8%,101955,806.83,1317.25,930.73,771.44
Ferrofluid,9753.80,-18.0%,66143,10067.86,28268.05,0.00,9640.54
Fluxed Condensates,10234.17,-21.8%,0,3545.89,3400.23,0.00,10234.17
Hexite,3561.85,-1.7%,127660,2747.50,2733.06,3064.08,3159.35
Hyperflurite,8407.13,+10.0%,0,9115.20,6127.01,42684.55,8407.13
Neo Mercurite,10547.84,+23.2%,102564,11736.40,3545.74,9400.00,13593.86
Platinum Technite,16378.10,-38.9%,36789,5526.95,16378.10,73.13,22690.03
Prometium,9597.41,-97.5%,0,3899.31,5159.08,0.00,9597.41
Rolled Tungsten Alloy,2239.04,+7.2%,138335,2403.47,2061.78,1174.00,1769.45
Silicon Diborite,772.67,+42.4%,113865,779.57,979.26,386.50,488.67
Solerium,2153.75,-95.1%,0,3273.46,498.56,0.00,2153.75
Sulfuric Acid,916.17,+8.1%,118023,989.20,975.21,1299.14,738.74
Titanium Chromide,2485.53,-19.5%,80404,3233.28,1612.29,57.00,1962.97
Vanadium Hafnite,1793.75,+61.6%,381829,1913.61,1074.84,1304.74,2097.25
,,,,,,,
Advanced Moon Materials,,,,,,,
Crystalline Carbonide,68.06,-1.7%,18831517,67.00,74.77,80.19,63.85
Fermionic Condensates,21636.35,-4.3%,13539,22313.26,22934.84,21599.98,17761.87
Fernite Carbide,55.19,+10.5%,73941885,54.90,56.44,90.93,56.83
Ferrogel,10991.82,+0.0%,162533,10998.52,10974.52,10365.12,9845.37
Fullerides,1064.29,+1.9%,4375379,1087.78,1009.11,553.24,934.92
Hypersynaptic Fibers,2758.21,+21.5%,1083425,2758.76,2812.87,3760.50,2581.72
Nanotransistors,2867.64,+1.1%,3495270,2873.73,2893.01,2801.29,2808.71
Phenolic Composites,503.47,-0.7%,1890533,492.50,510.18,330.46,429.21
Sylramic Fibers,151.63,-1.7%,12975605,150.86,159.91,79.66,147.77
Titanium Carbide,75.93,+2.6%,20844679,75.88,79.43,48.86,74.88
Tungsten Carbide,58.45,+2.6%,20663328,59.60,57.35,112.55,53.64
,,,,,,,
Tech 2 Construction Components,,,,,,,
Antimatter Reactor Unit,35793.24,+14.5%,3712,35875.25,34591.20,37000.00,34993.26
