Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Caldari Hybrid Tech Decryptor,1940833.56,+15.7%,121,1868550.32,2457142.43,0.00,2999970.00
Gallente Hybrid Tech Decryptor,86373.53,+35.2%,95,59695.34,154551.11,0.00,0.00
Minmatar Hybrid Tech Decryptor,144298.42,+136.0%,106,67544.07,749999.67,1500000.00,99172.14
,,,,,,,
Fullerenes,,,,,,,
Fullerite-C28,6103.94,-32.9%,49116,6883.51,4000.00,0.00,5970.00
Fullerite-C32,10232.97,-12.9%,42044,10327.55,9311.82,0.00,0.00
Fullerite-C50,3092.95,-26.1%,58648,3268.01,2700.21,0.00,4660.06
Fullerite-C60,466.28,-39.9%,67168,447.51,529.89,0.00,640.51
Fullerite-C70,385.70,-8.0%,63285,387.55,358.21,0.00,690.10
Fullerite-C72,2841.29,-47.7%,52491,2988.68,1287.94,0.00,4344.21
Fullerite-C84,648.94,-49.2%,84123,669.70,347.51,0.00,0.00
Fullerite-C320,64000.00,+0.3%,25828,64000.00,0.00,0.00,57769.25
Fullerite-C540,52956.64,-33.0%,12232,0.00,0.00,0.00,52956.64
,,,,,,,
Hybrid Polymers,,,,,,,
C3-FTM Acid,3675949.00,-13.9%,174,0.00,0.00,0.00,3675949.00
Carbon-86 Epoxy Resin,1348000.00,+73.7%,300,1348000.00,0.00,0.00,1214242.18
Fullerene Intercalated Graphite,3885.92,-53.0%,9179,0.00,0.00,0.00,3885.92
Fulleroferrocene,1360.09,+0.7%,6990,0.00,0.00,0.00,1360.09
Graphene Nanoribbons,65002.22,-0.1%,13412,0.00,0.00,0.00,65002.22
Lanthanum Metallofullerene,6550.01,+25.7%,1780,0.00,0.00,0.00,6550.01
Methanofullerene,9003.00,-87.4%,9800,0.00,0.00,0.00,9003.00
PPD Fullerene Fibers,8409.10,+12.8%,45981,0.00,0.00,0.00,8409.10
Scandium Metallofullerene,62980.00,-10.9%,3382,62980.00,0.00,0.00,50963.91
,,,,,,,
Raw Materials,,,,,,,
Atmospheric Gases,214.01,-66.8%,984275,0.00,0.00,0.00,214.01
Cadmium,1362.19,+22.7%,380816,1703.83,851.34,0.00,1674.28
Caesium,1234.93,-15.5%,129393,0.00,0.00,0.00,1234.93
Chromium,1606.72,-0.1%,544165,1980.00,1599.99,0.00,1878.40
Cobalt,300.00,-3.5%,212443,300.00,0.00,0.00,336.93
Dysprosium,22174.32,+798.1%,103223,0.00,0.00,0.00,22174.32
Evaporite Deposits,538.73,+11.4%,818647,569.20,423.22,0.00,498.85
Hafnium,587.58,+1.6%,1015127,651.66,549.37,0.00,906.85
Hydrocarbons,224.00,-9.0%,1055561,224.00,0.00,0.00,199.43
Mercury,1800.00,-2.3%,738889,0.00,1800.00,0.00,2290.71
Neodymium,14999.00,-4.3%,40731,14999.00,0.00,0.00,15094.43
Platinum,2661.76,-2.7%,683836,2697.03,2500.00,0.00,2948.48
Promethium,17449.71,-29.1%,105509,0.00,0.00,0.00,17449.71
Scandium,626.53,+6.7%,1472981,634.80,0.00,520.38,740.29
Silicates,405.88,-4.1%,485536,529.42,123.60,0.00,701.10
Technetium,30747.16,-77.3%,146487,0.00,0.00,0.00,30747.16
Thulium,970.48,-68.6%,321819,0.00,0.00,0.00,970.48
Titanium,2100.00,-9.5%,1064021,2100.00,0.00,0.00,1830.69
Tungsten,483.64,+36.0%,537657,0.00,0.00,0.00,483.64
Vanadium,1573.81,-32.3%,358923,1573.81,0.00,0.00,1052.19
,,,,,,,
Processed Materials,,,,,,,
Sulfuric Acid,1246.71,+3.3%,719530,410.02,1490.00,50.03,2031.05
Silicon Diborite,70.43,+994.2%,610972,70.43,0.00,0.00,1213.04
Ceramic Powder,1254.99,-16.8%,792890,1258.86,1251.14,0.00,1460.41
Carbon Polymers,3.55,+25861.3%,116841,0.00,2.50,50.02,1025.44
Crystallite Alloy,1721.85,+35.0%,352779,0.00,0.00,0.00,1721.85
Fernite Alloy,2100.61,-2.6%,565305,2100.61,0.00,0.00,2212.12
Titanium Chromide,3283.06,-28.7%,189229,0.00,0.00,0.00,3283.06
Rolled Tungsten Alloy,1882.94,-92.6%,330372,0.00,0.00,0.00,1882.94
Hexite,3105.16,+0.9%,740418,0.00,0.00,0.00,3105.16
Caesarium Cadmide,2313.31,+55.9%,143487,0.00,0.00,0.00,2313.31
Solerium,5000.34,-94.4%,150066,0.00,0.00,0.00,5000.34
Platinum Technite,7000.06,-78.2%,146912,0.00,7000.06,0.00,18964.51
Vanadium Hafnite,1954.76,-37.2%,570695,0.00,0.00,0.00,1954.76
Prometium,10886.21,+31.0%,12161,0.00,0.00,0.00,10886.21
Hyperflurite,11929.60,+79.8%,59283,0.00,0.00,0.00,11929.60
Ferrofluid,12000.00,-33.1%,28915,12000.00,0.00,0.00,15278.94
Dysporite,13916.26,-41.6%,19930,0.00,0.00,0.00,13916.26
Neo Mercurite,2000.00,+353.9%,259743,0.00,2000.00,0.00,11329.62
Fluxed Condensates,7082.81,-66.4%,60698,0.00,0.00,0.00,7082.81
,,,,,,,
Tech 2 Salvage Materials,,,,,,,
Artificial Neural Network,8392.36,-43.6%,778,8685.31,5902.28,0.00,10499.91
Capacitor Console,11501892.61,+7.6%,109,12492174.93,10863710.67,0.00,12841412.13
Conductive Thermoplastic,11307.75,-19.1%,92,12002.13,11000.00,4001.07,11707.18
Current Pump,13559.36,-18.9%,158,14001.10,18004.47,4001.07,0.00
Drone Transceiver,2937.69,+19.4%,343,3276.04,2000.27,4001.07,11111.00
