Type,Index,Change,Movement,Heimatar,Metropolis,Molden Heath,Jita
Fullerite-C84,289.48,-8.2%,1500,289.48,0.00,0.00,862.36
Fullerite-C320,49939.35,-4.5%,2455,69500.00,49082.74,0.00,62186.34
Fullerite-C540,31372.10,+53.0%,6001,0.00,31372.10,0.00,43597.38
,,,,,,,
Hybrid Polymers,,,,,,,
C3-FTM Acid,3889999.74,+0.3%,39,3889999.74,0.00,0.00,2983637.25
Carbon-86 Epoxy Resin,1000000.00,+42.1%,56,1000000.00,0.00,0.00,1089401.73
Fullerene Intercalated Graphite,2134.67,-39.7%,0,0.00,0.00,0.00,2134.67
Fulleroferrocene,1200.00,+31.8%,8304,1200.00,0.00,0.00,1683.31
Graphene Nanoribbons,76285.86,-17.0%,0,0.00,0.00,0.00,76285.86
Lanthanum Metallofullerene,3172.02,+129.0%,0,0.00,0.00,0.00,3172.02
Methanofullerene,11141.14,+19.4%,0,0.00,0.00,0.00,11141.14
PPD Fullerene Fibers,6836.52,+47.0%,0,0.00,0.00,0.00,6836.52
Scandium Metallofullerene,755.00,+5829.8%,1,755.00,0.00,0.00,35900.23
,,,,,,,
Raw Materials,,,,,,,
Atmospheric Gases,142.00,-63.7%,15300,142.00,0.00,0.00,161.02
Cadmium,1501.15,+34.7%,11625,1501.15,0.00,0.00,1940.11
Caesium,1044.44,+69.0%,0,0.00,0.00,0.00,1044.44
Chromium,2593.29,+0.0%,857500,2600.00,2200.37,0.00,2903.66
Cobalt,627.98,-18.4%,15000,627.98,0.00,0.00,580.99
Dysprosium,24712.25,+522.1%,0,0.00,0.00,0.00,24712.25
Evaporite Deposits,145.66,-29.6%,201747,612.29,400.00,80.66,575.57
Hafnium,400.00,+30.7%,22900,400.00,0.00,0.00,962.84
Hydrocarbons,42.60,+69.1%,87199,150.00,0.00,5.03,158.95
Mercury,1716.48,-11.5%,0,0.00,0.00,0.00,1716.48
Neodymium,15455.45,+13.3%,0,0.00,0.00,0.00,15455.45
Platinum,1446.03,+80.8%,77490,1446.55,1445.01,0.00,2967.28
Promethium,16948.30,-27.0%,0,0.00,0.00,0.00,16948.30
Scandium,430.59,-51.2%,54798,564.33,0.00,25.40,797.71
Silicates,365.72,+219.9%,106350,1998.96,1000.00,25.03,773.51
Technetium,30326.81,-78.9%,0,0.00,0.00,0.00,30326.81
Thulium,945.45,-65.8%,0,0.00,0.00,0.00,945.45
Titanium,1000.00,+23.4%,41767,1000.00,0.00,0.00,1437.69
